fecha,morosidad,paro,paro_lag_12,euribor,inflacion_interanual,pred_morosidad_m1,pred_morosidad_m2
2014-07-01,13.14,23.67,25.65,0.4875217391304347,-0.3419213202452753,11.972189561549602,12.374248158262349
2014-08-01,13.24,23.67,25.65,0.469095238095238,-0.4930569531092943,11.972189561549602,12.409850928859578
2014-09-01,13.02,23.67,25.65,0.3623181818181818,-0.1537395249196604,11.972189561549602,12.308994998531922
2014-10-01,12.91,23.7,25.73,0.3376086956521739,-0.0953839202791129,12.025570035072374,12.343296109955444
2014-11-01,12.73,23.7,25.73,0.3347,-0.3719753519362712,12.025570035072374,12.412804223806132
2014-12-01,12.51,23.7,25.73,0.3285238095238095,-1.0411061753112794,12.025570035072374,12.581079999419346
2015-01-01,12.55,23.78,25.93,0.2981904761904762,-1.3189265966621069,12.1590212188793,12.778381806720004
2015-02-01,12.5,23.78,25.93,0.25505,-1.073358877413788,12.1590212188793,12.710212357982773
2015-03-01,12.09,23.78,25.93,0.2123636363636363,-0.6633415196090842,12.1590212188793,12.600536193177911
2015-04-01,11.95,22.37,24.47,0.18045,-0.6349047015571485,11.184827577088726,11.629939148673792
2015-05-01,11.42,22.37,24.47,0.1653,-0.1831524807125339,11.184827577088726,11.513602017022857
2015-06-01,11.0,22.37,24.47,0.1630454545454545,0.0564355318108278,11.184827577088726,11.452718684179676
2015-07-01,10.92,21.18,23.67,0.1672608695652174,0.0683656804284282,10.65102284186101,10.924872911628533
2015-08-01,10.95,21.18,23.67,0.1612857142857142,-0.4209222368288023,10.65102284186101,11.04771499849543
2015-09-01,10.66,21.18,23.67,0.153590909090909,-0.8796839700629833,10.65102284186101,11.162597565727605
2015-10-01,10.53,20.9,23.7,0.1279090909090909,-0.7072686615914203,10.67104051943205,11.135089371314667
2015-11-01,10.32,20.9,23.7,0.0789047619047619,-0.2740518184218166,10.67104051943205,11.018656343965162
2015-12-01,10.12,20.9,23.7,0.0589090909090909,0.0177029197172551,10.67104051943205,10.942080236752739
2016-01-01,10.12,21.0,23.78,0.04235,-0.2878733357322804,10.724420992954823,11.069529980935227
2016-02-01,10.1,21.0,23.78,-0.0078571428571428,-0.8438926794233859,10.724420992954823,11.202993855064879
2016-03-01,9.99,21.0,23.78,-0.0123809523809523,-0.8410857652606074,10.724420992954823,11.201645381899926
2016-04-01,9.91,20.0,22.37,-0.0097619047619047,-1.055675518682675,9.783590147115977,10.330198778469914
2016-05-01,9.84,20.0,22.37,-0.012590909090909,-0.9878218904347148,9.783590147115977,10.31264665900903
2016-06-01,9.44,20.0,22.37,-0.028,-0.7946654633877337,9.783590147115977,10.261642781167168
2016-07-01,9.38,18.91,21.18,-0.056047619047619,-0.5933629382219308,8.989555603464755,9.4252244741206
2016-08-01,9.39,18.91,21.18,-0.0483043478260869,-0.1345536246969314,8.989555603464755,9.310336724267462
2016-09-01,9.21,18.91,21.18,-0.057090909090909,0.1795354996434905,8.989555603464755,9.229697875244442
2016-10-01,9.26,18.63,20.9,-0.0687619047619047,0.6794114298004583,8.802723946135053,8.917788147285627
2016-11-01,9.21,18.63,20.9,-0.0740454545454545,0.6744065852336556,8.802723946135053,8.918307089140137
2016-12-01,9.11,18.63,20.9,-0.0804285714285714,1.5689596318444463,8.802723946135053,8.691273526788118
2017-01-01,9.17,18.75,21.0,-0.0945,2.974686807238247,8.86944953803852,8.399613721153157
2017-02-01,9.14,18.75,21.0,-0.1059,2.967121090617497,8.86944953803852,8.399916163983187
2017-03-01,8.83,18.75,21.0,-0.1096086956521739,2.290194062459827,8.86944953803852,8.57051122091431
